collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,country,state,latdec,lngdec,paleolatdec,paleolngdec,subepoch,stage,10_my_bin,FR2_bin,ma_max,ma_mid,formation,member
84364,PaleoDB,"L. van den Hoek Ostende",,Triturus,,sp.,,,,,28268,2008,Germany,Bavaria,50.276944,9.795278,50.15,6.88,"Late/Upper Oligocene",Chattian,"Cenozoic 4",Chattian,28.400,25.715,,
87925,Fossilworks,"J. Alroy",,Palaeoproteus,"n. sp.",gallicus,,,,,29562,1981,France,Champagne-Ardenne,49.266667,4.100000,43.77,1.66,"Late/Upper Paleocene",Thanetian,"Cenozoic 1",Thanetian,58.700,57.25,"Conglomérat de Cernay",
87925,Fossilworks,"J. Alroy",cf.,Salamandra,,sp.,,,,,29562,1981,France,Champagne-Ardenne,49.266667,4.100000,43.77,1.66,"Late/Upper Paleocene",Thanetian,"Cenozoic 1",Thanetian,58.700,57.25,"Conglomérat de Cernay",
87925,Fossilworks,"J. Alroy",,Koalliella,,sp.,,,,,29562,1981,France,Champagne-Ardenne,49.266667,4.100000,43.77,1.66,"Late/Upper Paleocene",Thanetian,"Cenozoic 1",Thanetian,58.700,57.25,"Conglomérat de Cernay",
87955,Fossilworks,"J. Alroy",,Palaeoproteus,,gallicus,,,,,1635,1976,France,Champagne-Ardenne,49.166667,4.050000,43.67,1.62,"Late/Upper Paleocene",Thanetian,"Cenozoic 1",Thanetian,58.700,57.25,,
115190,PaleoDB,"M. Carrano",cf.,Kababisha,,sp.,,,,,29589,2008,Morocco,"Er Rachida",31.769216,-5.935282,19.26,-5.31,,Cenomanian,"Cretaceous 5",Cenomanian,99.700,97,Aoufous,
115192,PaleoDB,"M. Carrano",cf.,Kababisha,,sp.,,,,,29589,2008,Morocco,"Er Rachida",31.769216,-5.935282,19.26,-5.31,,Cenomanian,"Cretaceous 5",Cenomanian,99.700,97,Aoufous,
132996,PaleoDB,"P. Mannion","n. gen.",Seminobatrachus,"n. sp.",boltyschkensis,,,,,42822,2012,Ukraine,"Cherkasy Oblast",48.875833,32.178611,44.63,27.20,,,,,58.700,53.65,,
132997,PaleoDB,"P. Mannion",,Seminobatrachus,,boltyschkensis,,,,,42822,2012,Ukraine,"Cherkasy Oblast",48.875833,32.178611,44.63,27.20,,,,,58.700,53.65,,
132998,PaleoDB,"P. Mannion",,Seminobatrachus,,boltyschkensis,,,,,42822,2012,Ukraine,"Cherkasy Oblast",48.875833,32.178611,44.63,27.20,,,,,58.700,53.65,,
