collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,country,state,latdec,lngdec,paleolatdec,paleolngdec,epoch,stage,10_my_bin,FR2_bin,ma_max,ma_mid,formation,member
14535,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,960,1982,"United States",Montana,47.55,-107.1,54.34,-80.22,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"Hell Creek",
14535,Fossilworks,"J. Alroy",,Opisthotriton,,kayi,,,,,960,1982,"United States",Montana,47.55,-107.1,54.34,-80.22,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"Hell Creek",
14535,Fossilworks,"J. Alroy",,Habrosaurus,,dilatus,,,,,960,1982,"United States",Montana,47.55,-107.1,54.34,-80.22,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"Hell Creek",
14536,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,960,1982,"United States",Montana,47.5667,-107.1,54.36,-80.21,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"Hell Creek",
14538,Fossilworks,"J. Alroy",,Habrosaurus,,dilatus,,,,,1239,1964,"United States",Wyoming,43.1667,-104.5333,49.63,-79.38,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14538,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,1239,1964,"United States",Wyoming,43.1667,-104.5333,49.63,-79.38,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14538,Fossilworks,"J. Alroy",,Prodesmodon,,copei,,,,,1239,1964,"United States",Wyoming,43.1667,-104.5333,49.63,-79.38,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14538,Fossilworks,"J. Alroy",,Opisthotriton,,kayi,,,,,1239,1964,"United States",Wyoming,43.1667,-104.5333,49.63,-79.38,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14540,Fossilworks,"J. Alroy",,Habrosaurus,,dilatus,,,,,1419,1998,"United States",Wyoming,41.939878,-106.876311,48.90,-82.43,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.2,70.1,Ferris,
14540,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,1419,1998,"United States",Wyoming,41.939878,-106.876311,48.90,-82.43,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.2,70.1,Ferris,
14541,Fossilworks,"J. Alroy",,Habrosaurus,,dilatus,,,,,1419,1998,"United States",Wyoming,41.940621,-106.891735,48.90,-82.44,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.2,70.1,Ferris,
14542,Fossilworks,"J. Alroy",,Habrosaurus,,dilatus,,,,,1419,1998,"United States",Wyoming,41.935326,-106.882239,48.89,-82.43,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.2,70.1,Ferris,
14543,Fossilworks,"J. Alroy",,Habrosaurus,,dilatus,,,,,1419,1998,"United States",Wyoming,41.938138,-106.853413,48.89,-82.40,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.2,70.1,Ferris,
14546,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,960,1982,"United States",Montana,47.5167,-106.4,54.17,-79.46,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,69.4,68.45,"Hell Creek",
14546,Fossilworks,"J. Alroy",,Opisthotriton,,kayi,,,,,960,1982,"United States",Montana,47.5167,-106.4,54.17,-79.46,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,69.4,68.45,"Hell Creek",
14548,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,960,1982,"United States",Montana,47.5167,-106.4167,54.18,-79.48,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"Hell Creek",
14549,Fossilworks,"J. Alroy",,Lisserpeton,,bairdi,,,,,960,1982,"United States",Montana,47.5167,-106.4,54.17,-79.46,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,67.7,67.6,"Hell Creek",
14549,Fossilworks,"J. Alroy",,Habrosaurus,,dilatus,,,,,960,1982,"United States",Montana,47.5167,-106.4,54.17,-79.46,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,67.7,67.6,"Hell Creek",
14549,Fossilworks,"J. Alroy",,Habrosaurus,,sp.,,,,,960,1982,"United States",Montana,47.5167,-106.4,54.17,-79.46,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,67.7,67.6,"Hell Creek",
14549,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,960,1982,"United States",Montana,47.5167,-106.4,54.17,-79.46,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,67.7,67.6,"Hell Creek",
14549,Fossilworks,"J. Alroy",,Opisthotriton,,kayi,,,,,960,1982,"United States",Montana,47.5167,-106.4,54.17,-79.46,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,67.7,67.6,"Hell Creek",
14552,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,960,1982,"United States",Montana,47.6,-107,54.37,-80.08,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"Hell Creek",
14555,Fossilworks,"J. Alroy",,Lisserpeton,,sp.,,,,,3313,1993,Canada,Saskatchewan,49.4,-107.4,56.17,-79.60,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Ravenscrag,
14555,Fossilworks,"J. Alroy",,Scapherpeton,,sp.,,,,,3313,1993,Canada,Saskatchewan,49.4,-107.4,56.17,-79.60,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Ravenscrag,
14557,Fossilworks,"J. Alroy",,Opisthotriton,,kayi,,,,,774,1986,"United States",Wyoming,43.300000,-104.366667,49.72,-79.15,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
