collection_no,source_database,collection.authorizer,class_name,order_name,family_name,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,collection_name,country,state,latdec,lngdec,paleolatdec,paleolngdec,stage,10_my_bin,FR2_bin,formation,member
14535,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,960,1982,"Engdahl Anthills 3","United States",Montana,47.55,-107.1,54.34,-80.22,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14536,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Engdahl Anthills 4","United States",Montana,47.5667,-107.1,54.36,-80.21,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14538,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Prodesmodon,,copei,,,,,1239,1964,"False Disciple Point","United States",Wyoming,43.1667,-104.5333,49.63,-79.38,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14538,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,1239,1964,"False Disciple Point","United States",Wyoming,43.1667,-104.5333,49.63,-79.38,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14538,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,1239,1964,"False Disciple Point","United States",Wyoming,43.1667,-104.5333,49.63,-79.38,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14538,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,1239,1964,"False Disciple Point","United States",Wyoming,43.1667,-104.5333,49.63,-79.38,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14540,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,1419,1998,"Ferris Formation (UW V-92010)","United States",Wyoming,41.939878,-106.876311,48.90,-82.43,Maastrichtian,"Cretaceous 8",Maastrichtian,Ferris,
14540,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,1419,1998,"Ferris Formation (UW V-92010)","United States",Wyoming,41.939878,-106.876311,48.90,-82.43,Maastrichtian,"Cretaceous 8",Maastrichtian,Ferris,
14541,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,1419,1998,"Ferris Formation (UW V-92027)","United States",Wyoming,41.940621,-106.891735,48.90,-82.44,Maastrichtian,"Cretaceous 8",Maastrichtian,Ferris,
14542,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,1419,1998,"Ferris Formation (UW V-92036)","United States",Wyoming,41.935326,-106.882239,48.89,-82.43,Maastrichtian,"Cretaceous 8",Maastrichtian,Ferris,
14543,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,1419,1998,"Ferris Formation (UW V-92046)","United States",Wyoming,41.938138,-106.853413,48.89,-82.40,Maastrichtian,"Cretaceous 8",Maastrichtian,Ferris,
