generation,N_shifts,logPrior,logLik,eventRate,acceptRate
758000000,47,285.619,32.5948,48.7729,0.241
759000000,54,334.19,40.8248,50.7827,0.233
760000000,19,108.424,-16.0574,23.7297,0.261
761000000,46,280.596,33.6655,52.7082,0.25
762000000,46,277.757,45.4387,50.4399,0.205
763000000,62,359.248,11.3156,66.3913,0.272
764000000,48,279.182,20.3234,44.2072,0.247
765000000,23,138.931,54.6136,20.5841,0.227
766000000,38,229.256,21.8653,51.8815,0.2344
767000000,30,188.413,6.66584,19.3187,0.25
768000000,43,261.653,19.01,38.5918,0.2535
769000000,42,261.699,18.0827,40.7487,0.255
770000000,29,167.84,44.8938,22.9612,0.239667
771000000,103,622.591,44.8906,107.701,0.224
772000000,40,245.134,20.4151,38.632,0.238
